,staff01_note01,staff01_note02,staff01_note03,staff01_note04,staff01_note05,staff02_note01,staff02_note02,staff02_note03,staff02_note04,staff02_note05
142,0,0,0,0,0,43,0,0,0,0
143,0,0,0,0,0,42,0,0,0,0
144,62,0,0,0,0,41,0,0,0,0
145,65,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,45,0,0,0,0
147,0,0,0,0,0,47,0,0,0,0
148,69,0,0,0,0,46,0,0,0,0
149,67,0,0,0,0,48,0,0,0,0
150,67,0,0,0,0,41,0,0,0,0
151,70,0,0,0,0,53,0,0,0,0
152,62,0,0,0,0,58,0,0,0,0
153,65,0,0,0,0,56,0,0,0,0
154,0,0,0,0,0,53,0,0,0,0
155,0,0,0,0,0,48,0,0,0,0
156,75,0,0,0,0,48,0,0,0,0
157,74,0,0,0,0,47,0,0,0,0
158,0,0,0,0,0,50,0,0,0,0
159,72,0,0,0,0,51,0,0,0,0
160,66,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,54,0,0,0,0
162,72,0,0,0,0,54,0,0,0,0
163,70,0,0,0,0,55,0,0,0,0
164,61,0,0,0,0,0,0,0,0,0
165,67,0,0,0,0,49,0,0,0,0
166,65,0,0,0,0,50,0,0,0,0
167,63,0,0,0,0,0,0,0,0,0
168,72,0,0,0,0,51,57,0,0,0
169,70,0,0,0,0,50,58,0,0,0
170,64,0,0,0,0,49,0,0,0,0
171,63,0,0,0,0,48,0,0,0,0
172,62,0,0,0,0,46,0,0,0,0
173,0,0,0,0,0,53,57,58,62,0
174,75,0,0,0,0,0,0,0,0,0
175,72,76,79,84,0,60,64,67,0,0
176,72,75,78,81,84,60,63,66,69,0
177,72,76,79,82,84,60,64,67,70,0
178,86,0,0,0,0,0,0,0,0,0
179,82,0,0,0,0,0,0,0,0,0
180,81,0,0,0,0,0,0,0,0,0
181,79,0,0,0,0,0,0,0,0,0
182,81,0,0,0,0,41,0,0,0,0
183,0,0,0,0,0,41,44,0,0,0
184,0,0,0,0,0,41,45,0,0,0
185,0,0,0,0,0,41,48,0,0,0
186,69,70,71,72,0,41,50,0,0,0
187,69,72,0,0,0,41,0,0,0,0
188,66,75,0,0,0,41,48,0,0,0
189,74,0,0,0,0,41,50,0,0,0
190,69,0,0,0,0,41,48,0,0,0
191,64,0,0,0,0,36,0,0,0,0
192,60,64,67,0,0,36,0,0,0,0
193,0,0,0,0,0,36,39,0,0,0
194,0,0,0,0,0,36,40,0,0,0
195,0,0,0,0,0,36,43,0,0,0
196,69,0,0,0,0,36,43,0,0,0
197,62,0,0,0,0,36,45,0,0,0
198,63,0,0,0,0,36,43,0,0,0
199,67,0,0,0,0,36,0,0,0,0
200,63,0,0,0,0,36,39,0,0,0
201,64,0,0,0,0,36,40,0,0,0
202,67,0,0,0,0,36,43,0,0,0
203,64,70,0,0,0,36,45,0,0,0
204,62,65,67,0,0,43,0,0,0,0
205,0,0,0,0,0,43,46,0,0,0
206,0,0,0,0,0,43,47,0,0,0
207,0,0,0,0,0,43,50,0,0,0
208,67,74,77,79,0,43,50,0,0,0
209,0,0,0,0,0,43,52,0,0,0
210,72,0,0,0,0,43,50,0,0,0
211,69,0,0,0,0,43,0,0,0,0
212,70,0,0,0,0,43,0,0,0,0
213,71,0,0,0,0,43,46,0,0,0
214,74,0,0,0,0,43,47,0,0,0
215,75,0,0,0,0,43,50,0,0,0
216,76,0,0,0,0,43,50,0,0,0
217,75,0,0,0,0,43,52,0,0,0
218,67,0,0,0,0,43,50,0,0,0
219,60,0,0,0,0,36,0,0,0,0
220,57,63,0,0,0,36,39,0,0,0
221,60,64,0,0,0,36,40,0,0,0
222,60,64,0,0,0,36,43,0,0,0
223,0,0,0,0,0,36,45,0,0,0
224,66,75,0,0,0,36,43,0,0,0
225,67,76,0,0,0,36,0,0,0,0
226,66,75,0,0,0,36,40,0,0,0
227,67,76,0,0,0,36,43,0,0,0
228,72,0,0,0,0,36,0,0,0,0
229,66,75,0,0,0,36,39,0,0,0
230,65,74,0,0,0,0,0,0,0,0
231,64,72,0,0,0,36,43,0,0,0
232,67,76,0,0,0,41,0,0,0,0
233,66,75,0,0,0,41,45,0,0,0
234,67,76,0,0,0,41,48,0,0,0
235,0,0,0,0,0,41,50,0,0,0
236,72,0,0,0,0,41,0,0,0,0
237,66,75,0,0,0,41,44,0,0,0
238,64,72,0,0,0,41,48,0,0,0
239,64,0,0,0,0,36,43,0,0,0
240,59,62,67,0,0,43,0,0,0,0
241,72,0,0,0,0,43,0,0,0,0
242,69,0,0,0,0,43,46,0,0,0
243,70,0,0,0,0,43,47,0,0,0
244,67,71,0,0,0,43,50,0,0,0
